Sec,Env
0,-37.8680024225003
1,-81.5321075918622
2,-66.1373489251013
3,-43.8078805773523
4,-32.9855637551787
5,-34.3308437483437
6,-31.995551930571
7,-37.1721754211552
8,-34.5450593995496
9,-32.6209638871447
10,-37.7507880722399
11,-33.0061112410933
12,-26.5312429122902
13,-27.2078040021886
14,-26.0164213798067
15,-22.2189963332755
16,-24.4929294542942
17,-27.7137463275802
18,-28.5711554910199
19,-27.7220711971489
20,-28.6967102873964
21,-28.7348829385494
22,-29.3491437027334
23,-32.1575492157148
24,-35.2405630754593
25,-32.7605635591282
26,-27.5336354691614
27,-25.5768984648846
28,-23.955143902635
29,-21.8950966776766
30,-23.5991714536297
31,-27.6541407212375
32,-29.8387428948516
33,-28.051479005754
34,-29.6337035760657
35,-30.1844922385286
36,-30.307056966866
37,-33.2788320511985
38,-33.7371499621755
39,-32.3858363870268
40,-25.459616929143
41,-25.2923165493025
42,-24.1386832142914
43,-21.9254519961469
44,-21.471115275862
45,-24.694251288072
46,-31.6117038032388
47,-29.3544708675516
48,-25.8059327337685
49,-26.0631778316524
50,-23.5148539591578
51,-23.2875013900392
52,-23.746467053402
53,-29.1205208368989
54,-32.3902177869944
55,-27.8029207561934
56,-20.8931748319721
57,-28.4779741668132
58,-29.169392731934
59,-23.5402274466403
60,-23.8791746342857
61,-23.8144400605084
62,-21.7304470222602
63,-22.3651467474601
64,-19.0381752708649
65,-23.9096865012325
66,-29.4405361333944
67,-28.6438460612407
68,-28.99472487511
69,-27.6129196098875
70,-29.5247883524482
71,-26.012937965225
72,-25.5826118720128
73,-24.864501582455
74,-23.9923176016525
75,-23.7889127310079
76,-27.0813451208432
77,-29.4511565426101
78,-25.4666901688838
79,-26.3117939427413
80,-28.4613671397182
81,-32.1901996255964
82,-31.8842637177562
83,-35.1963000781693
84,-34.2924225221835
85,-27.2895557459273
86,-25.8619887118056
87,-24.6549329413539
88,-23.6334071847541
89,-22.927426034409
90,-26.3069067088062
91,-33.5154539297894
92,-33.5392339310659
93,-29.239340622203
94,-28.9449047482948
95,-25.2341980256052
96,-25.932032391195
97,-26.8438669628697
98,-34.0030287862768
99,-32.3765442198655
100,-26.0397755346832
101,-22.6612723978779
102,-27.669825898158
103,-31.0598721090785
104,-24.6578585796821
105,-23.494874505464
106,-24.7224700999497
107,-21.9037579548818
108,-22.5067049423434
109,-20.2487687335241
110,-22.8011368540337
111,-29.1511151259456
112,-29.8839475335161
113,-29.510429437429
114,-28.3495749609323
115,-29.9062172821515
116,-25.725566143047
117,-25.5530281753491
118,-24.7459596539941
119,-23.8790707957196
120,-24.1143614976715
121,-27.6710451158047
122,-29.4050053826492
123,-25.9993403373735
124,-27.3873923769536
125,-30.6525155726944
126,-31.8541194514729
127,-31.0864743309673
128,-23.8281529565248
129,-22.6274553801297
130,-26.4527167531889
131,-25.5053838536575
132,-22.2862754972485
133,-24.2405996582595
134,-26.3969012113149
135,-26.9390191236012
136,-26.4684134356178
137,-26.4925834766372
138,-27.5941105249908
139,-25.8119997485212
140,-26.7611254550638
141,-22.6137364614043
142,-21.0273885517867
143,-24.2991340316396
144,-27.6913355767021
145,-25.8315977600526
146,-25.0509006429879
147,-25.5621962412788
148,-27.7985595049962
149,-27.5043765171836
150,-24.6134395081223
151,-21.3919337112062
152,-20.9921421556041
153,-23.1859846626865
154,-24.0914640217985
155,-23.8795946699236
156,-24.5391851148158
157,-23.9727318691022
158,-22.6987714588182
159,-23.1960665014871
160,-25.2719694384381
161,-25.418482983343
162,-23.7344868021383
163,-25.6548219633478
164,-24.5299762341417
165,-21.4645066760217
166,-22.2334229732634
167,-25.5080634174969
168,-23.6689457726061
169,-25.0960525333792
170,-26.7347384939315
171,-25.9168553552815
172,-25.7451615715613
173,-27.3745250863817
174,-27.2248744947095
175,-28.9441378293819
176,-31.7797556542388
177,-30.9384574252078
178,-36.9365807416501
179,-38.8653546184045
180,-49.8608955275145
181,-60.3353936891664
182,-79.8546778929286
183,-80.4246679420128
184,-83.4032753393519
185,-57.5780290113626
