Sec,chills
1,0
2,0.0208333333333333
3,0.166666666666667
4,0.291666666666667
5,0.395833333333333
6,0.458333333333333
7,0.541666666666667
8,0.645833333333333
9,0.6875
10,0.6875
11,0.75
12,0.833333333333333
13,0.833333333333333
14,0.791666666666667
15,0.833333333333333
16,0.791666666666667
17,0.791666666666667
18,0.791666666666667
19,0.6875
20,0.645833333333333
21,0.645833333333333
22,0.645833333333333
23,0.604166666666667
24,0.604166666666667
25,0.75
26,0.770833333333333
27,0.875
28,0.875
29,0.875
30,0.895833333333333
31,0.854166666666667
32,0.833333333333333
33,0.833333333333333
34,0.875
35,0.895833333333333
36,0.979166666666667
37,1
38,1
39,1.02083333333333
40,1.02083333333333
41,1
42,1.04166666666667
43,1.04166666666667
44,1.04166666666667
45,1.02083333333333
46,0.979166666666667
47,0.9375
48,0.916666666666667
49,0.9375
50,0.958333333333333
51,0.979166666666667
52,0.979166666666667
53,0.958333333333333
54,0.916666666666667
55,0.895833333333333
56,0.833333333333333
57,0.854166666666667
58,0.8125
59,0.791666666666667
60,0.770833333333333
61,0.791666666666667
62,0.791666666666667
63,0.791666666666667
64,0.729166666666667
65,0.729166666666667
66,0.708333333333333
67,0.729166666666667
68,0.75
69,0.75
70,0.75
71,0.708333333333333
72,0.708333333333333
73,0.708333333333333
74,0.708333333333333
75,0.708333333333333
76,0.729166666666667
77,0.729166666666667
78,0.75
79,0.770833333333333
80,0.770833333333333
81,0.770833333333333
82,0.75
83,0.729166666666667
84,0.729166666666667
85,0.729166666666667
86,0.791666666666667
87,0.833333333333333
88,0.8125
89,0.895833333333333
90,0.833333333333333
91,0.854166666666667
92,0.854166666666667
93,0.854166666666667
94,0.875
95,0.875
96,0.916666666666667
97,0.916666666666667
98,0.9375
99,1.02083333333333
100,1.0625
101,1.10416666666667
102,1.125
103,1.14583333333333
104,1.14583333333333
105,1.16666666666667
106,1.1875
107,1.1875
108,1.1875
109,1.14583333333333
110,1.02083333333333
111,1.02083333333333
112,1.02083333333333
113,1.02083333333333
114,1
115,1
116,1.02083333333333
117,1.02083333333333
118,1.02083333333333
119,1.14583333333333
120,1.16666666666667
121,1.33333333333333
122,1.4375
123,1.54166666666667
124,1.54166666666667
125,1.5625
126,1.54166666666667
127,1.54166666666667
128,1.47916666666667
129,1.5
130,1.45833333333333
131,1.45833333333333
132,1.4375
133,1.39583333333333
134,1.33333333333333
135,1.3125
136,1.35416666666667
137,1.35416666666667
138,1.29166666666667
139,1.58333333333333
140,1.58333333333333
141,1.58333333333333
142,1.58333333333333
143,1.58333333333333
144,1.58333333333333
145,1.58333333333333
146,1.58333333333333
147,1.58333333333333
148,1.58333333333333
149,1.58333333333333
150,1.58333333333333
151,1.58333333333333
152,1.58333333333333
153,1.58333333333333
154,1.58333333333333
155,1.58333333333333
156,1.58333333333333
157,1.58333333333333
158,1.58333333333333
159,1.58333333333333
160,1.58333333333333
161,1.58333333333333
162,1.58333333333333
163,1.58333333333333
164,1.58333333333333
165,1.58333333333333
166,1.58333333333333
167,1.58333333333333
168,1.58333333333333
169,1.58333333333333
170,1.58333333333333
171,1.58333333333333
172,1.58333333333333
173,1.58333333333333
174,1.58333333333333
175,1.58333333333333
176,1.58333333333333
177,1.58333333333333
178,1.58333333333333
179,1.58333333333333
180,1.58333333333333
181,1.58333333333333
182,1.58333333333333
183,1.58333333333333
184,1.58333333333333
185,1.58333333333333
186,1.58333333333333
