Sec,Env
0,-34.6577314660212
1,-42.9850059621489
2,-20.2248401219979
3,-34.1544446047633
4,-34.1124835651196
5,-41.1240386930575
6,-41.4029456715844
7,-28.032203982239
8,-25.1672088821047
9,-26.1070644836201
10,-29.0712565998056
11,-27.4205794413205
12,-35.0434165972384
13,-33.1513946701815
14,-27.475438380314
15,-27.1502185405789
16,-34.5736243903315
17,-30.9529350487079
18,-37.996974772075
19,-38.3050315404005
20,-29.3953343694567
21,-20.4432140771942
22,-26.1765100380634
23,-26.0896582388257
24,-26.2037256623582
25,-27.1223729212369
26,-28.1809094957418
27,-25.8140218966234
28,-20.712091350023
29,-27.7293187305317
30,-25.3876749522368
31,-25.0059654213279
32,-31.4652794795322
33,-24.2340850070174
34,-20.7739188288204
35,-23.669681066275
36,-24.0364078457602
37,-27.4726866974932
38,-24.8576548495909
39,-21.9289041659595
40,-19.6163573323704
41,-19.2888973271352
42,-17.9445750246062
43,-19.5694970848974
44,-22.1080812459042
45,-20.0770066414763
46,-17.0311159742705
47,-16.4392530206862
48,-20.6736001113188
49,-20.2150697946492
50,-20.9898556327078
51,-19.3444944144244
52,-17.7081845065645
53,-12.0987460450019
54,-14.3094760740569
55,-14.0592271925151
56,-12.455601940826
57,-14.6288999867889
58,-13.5376430198562
59,-15.1770058574734
60,-16.8682172736998
61,-17.4753093353702
62,-16.6339956730965
63,-15.7829113710077
64,-14.8892505219983
65,-13.9174511285953
66,-14.0229778575084
67,-12.3079080010665
68,-11.7264922597044
69,-14.7972360340734
70,-17.4706418862073
71,-15.9082376314402
72,-16.2039067029894
73,-16.9893288981479
74,-15.8098123784713
75,-15.075406131458
76,-14.3293076692292
77,-16.6582387078266
78,-14.2006390574615
79,-14.8342534672779
80,-12.9525242078583
81,-15.1259775389954
82,-15.840698817263
83,-18.1909764350715
84,-17.2276159841284
85,-15.3262083029474
86,-14.8659519864842
87,-14.2366082864515
88,-13.8032284118646
89,-13.3882170983012
90,-12.8080914325655
91,-13.9848968383218
92,-16.8439336179952
93,-15.7701416673368
94,-14.8136625127197
95,-16.2734799545587
96,-15.8623562114991
97,-14.9093815228003
98,-16.4276329772126
99,-23.5703969585704
100,-19.7253456485193
101,-21.9299513503267
102,-24.0581137885623
103,-24.2526404708742
104,-24.6248703183393
105,-24.9057787105182
106,-23.9049316739191
107,-22.2298075235983
108,-19.779168560644
109,-19.2516385586965
110,-20.7464253221276
111,-18.6282854816326
112,-21.6759589360195
113,-21.2975690850136
114,-22.7863413318746
115,-24.0256416647087
116,-21.6555832597727
117,-22.9365408178619
118,-21.8397843704306
119,-24.0407370567835
120,-22.7841404314296
121,-24.072639681742
122,-25.3587009236401
123,-26.0456632789441
124,-26.6144811048787
125,-21.251766443243
126,-24.9660328997972
127,-25.919247653193
128,-27.9970526773853
129,-23.3649642062248
130,-24.1821539377714
131,-24.2547256179886
132,-26.7335243041368
133,-24.2167304622291
134,-24.7991915169639
135,-23.1100895357366
136,-23.9700424274335
137,-26.8366509122066
138,-23.8308873713563
139,-24.8778474877469
140,-25.7315094672617
141,-23.1013687929271
142,-26.1985827689981
143,-23.9381327020534
144,-32.2621658581859
145,-30.1792544476881
146,-30.37276654178
147,-25.5667098761128
148,-25.3509372114919
149,-28.2275578033638
150,-31.6599896576547
151,-38.8953930250148
152,-36.9478846925449
