Sec,warmth
1,0
2,0.0208333333333333
3,0.0625
4,0.166666666666667
5,0.229166666666667
6,0.354166666666667
7,0.4375
8,0.520833333333333
9,0.604166666666667
10,0.708333333333333
11,0.708333333333333
12,0.708333333333333
13,0.708333333333333
14,0.708333333333333
15,0.791666666666667
16,0.8125
17,0.875
18,1.04166666666667
19,1.10416666666667
20,1.16666666666667
21,1.20833333333333
22,1.33333333333333
23,1.35416666666667
24,1.3125
25,1.3125
26,1.3125
27,1.33333333333333
28,1.33333333333333
29,1.375
30,1.45833333333333
31,1.47916666666667
32,1.5
33,1.54166666666667
34,1.54166666666667
35,1.5625
36,1.5625
37,1.5625
38,1.58333333333333
39,1.58333333333333
40,1.58333333333333
41,1.58333333333333
42,1.58333333333333
43,1.58333333333333
44,1.625
45,1.64583333333333
46,1.72916666666667
47,1.79166666666667
48,1.83333333333333
49,1.875
50,1.875
51,1.875
52,1.89583333333333
53,1.9375
54,1.9375
55,2
56,2
57,1.95833333333333
58,1.91666666666667
59,1.875
60,1.91666666666667
61,1.91666666666667
62,1.91666666666667
63,1.91666666666667
64,1.97916666666667
65,1.97916666666667
66,2.04166666666667
67,2.04166666666667
68,2.02083333333333
69,2.02083333333333
70,2.02083333333333
71,2
72,1.95833333333333
73,1.97916666666667
74,1.91666666666667
75,1.875
76,1.85416666666667
77,1.875
78,1.85416666666667
79,1.77083333333333
80,1.6875
81,1.66666666666667
82,1.64583333333333
83,1.625
84,1.625
85,1.625
86,1.625
87,1.625
88,1.66666666666667
89,1.66666666666667
90,1.66666666666667
91,1.77083333333333
92,1.77083333333333
93,1.8125
94,1.83333333333333
95,1.875
96,1.83333333333333
97,1.83333333333333
98,1.83333333333333
99,1.8125
100,1.8125
101,1.8125
102,1.8125
103,1.8125
104,1.8125
105,1.91666666666667
106,2.02083333333333
107,2.08333333333333
108,2.10416666666667
109,2.10416666666667
110,2.10416666666667
111,2.10416666666667
112,2.125
113,2.10416666666667
114,2.08333333333333
115,2.0625
116,2.0625
117,2.0625
118,2.0625
119,2.0625
120,2.04166666666667
121,2.04166666666667
122,2.0625
123,2.0625
124,2.0625
125,2.08333333333333
126,2.10416666666667
127,2.04166666666667
128,2.0625
129,2.0625
130,2.0625
131,2.0625
132,2.04166666666667
133,2.08333333333333
134,2.04166666666667
135,2.04166666666667
136,2.04166666666667
137,2.04166666666667
138,2.04166666666667
139,2.08333333333333
140,2.20833333333333
141,2.33333333333333
142,2.39583333333333
143,2.52083333333333
144,2.54166666666667
145,2.52083333333333
146,2.54166666666667
147,2.54166666666667
148,2.5625
149,2.5625
150,2.54166666666667
151,2.5625
152,2.54166666666667
153,2.54166666666667
154,2.52083333333333
155,2.52083333333333
156,2.5
157,2.5
158,2.47916666666667
159,2.47916666666667
160,2.4375
161,2.4375
162,2.35416666666667
163,2.35416666666667
164,2.3125
165,2.3125
166,2.3125
167,2.16666666666667
168,2.16666666666667
169,2.0625
170,1.64583333333333
171,1.64583333333333
172,1.64583333333333
173,1.64583333333333
174,1.64583333333333
175,1.64583333333333
176,1.64583333333333
177,1.64583333333333
178,1.64583333333333
179,1.64583333333333
180,1.64583333333333
181,1.64583333333333
182,1.64583333333333
183,1.64583333333333
184,1.64583333333333
185,1.64583333333333
186,1.64583333333333
