Sec,Env
0,-25.2106627662238
1,-37.6852907618373
2,-24.2870461200942
3,-29.1939544622002
4,-23.1932264493757
5,-24.563621243241
6,-22.5145097055037
7,-20.9232276680475
8,-19.9439324314191
9,-20.6931607802213
10,-18.2866954310549
11,-21.7025682398191
12,-24.54405357412
13,-25.9786863352517
14,-21.0402891715751
15,-21.4085694242637
16,-21.4636312234896
17,-22.2593288463858
18,-20.7279824924663
19,-18.2449007969875
20,-19.103154057786
21,-19.6100762740059
22,-19.4101817778097
23,-16.8914069708716
24,-19.4013011421133
25,-17.3617163821336
26,-16.8548982858645
27,-19.642028534976
28,-17.3083261284386
29,-15.3015730586971
30,-19.768759635439
31,-26.8070393871449
32,-24.0580104108236
33,-22.5491638279539
34,-23.0179874912669
35,-22.8007030232655
36,-22.0256153661298
37,-23.4815216165629
38,-23.2639757140801
39,-20.3684395889355
40,-23.7200241115631
41,-22.2941821095603
42,-19.3917595470081
43,-20.0524917768556
44,-22.1062343632744
45,-21.5544220361502
46,-20.1813887559302
47,-21.908995837385
48,-20.3318051287538
49,-17.3925636489076
50,-19.6955069807206
51,-20.509273570075
52,-18.2571616396668
53,-18.7412147694957
54,-18.8883619746823
55,-18.807585326819
56,-19.7631908152643
57,-17.0047925084489
58,-17.7228355441006
59,-18.011689775656
60,-18.7801959772617
61,-19.1587560199156
62,-14.4535139579321
63,-15.7141100758709
64,-18.3529323216333
65,-19.0206417957923
66,-21.8403165438704
67,-20.027296204422
68,-18.3201604628094
69,-19.8066967765549
70,-19.0279745207708
71,-17.734247350792
72,-21.463553096127
73,-21.841455484021
74,-25.9531150118293
75,-24.845073371333
76,-29.1595405963331
77,-26.7864185979908
78,-27.4893491966286
79,-24.6383328496729
80,-20.2703019601047
81,-22.7140384298235
82,-20.5426753722255
83,-20.430511712045
84,-17.0853201346435
85,-15.6534846694664
86,-16.2064040217412
87,-15.0878751104473
88,-17.3854566614348
89,-17.5670949332403
90,-16.0819558874562
91,-19.0249898312026
92,-22.5670558631196
93,-19.9937310628409
94,-16.0069333017011
95,-14.9959871097738
96,-15.8634315926201
97,-19.7552551126747
98,-21.5280491971082
99,-22.6118333530232
100,-15.0592998862342
101,-14.4702003995277
102,-16.851948574306
103,-16.286439948618
104,-20.9840316795838
105,-17.8074187876297
106,-17.6410064666889
107,-18.6662840851044
108,-16.92243215506
109,-17.9987247989465
110,-18.5714642985758
111,-15.3311960305711
112,-13.5695191285177
113,-16.9234601237418
114,-17.35553225001
115,-19.3068405866371
116,-19.186713346377
117,-19.9322603618922
118,-17.6664203750677
119,-15.4931358595377
120,-15.8857575117778
121,-15.4207021187805
122,-16.4423963213817
123,-18.7020006917838
124,-20.6570034699856
125,-17.7423969574562
126,-18.6052763002604
127,-21.0428876619138
128,-21.7167994238961
129,-23.0427390635588
130,-23.5409548688984
131,-27.3567318661325
132,-30.5168388115271
133,-36.8294913553196
134,-42.8653903155671
