Sec,touched
1,0
2,0
3,0
4,0.0909090909090909
5,0.2
6,0.345454545454545
7,0.436363636363636
8,0.509090909090909
9,0.654545454545455
10,0.763636363636364
11,0.872727272727273
12,0.945454545454545
13,0.963636363636364
14,0.963636363636364
15,0.945454545454545
16,0.981818181818182
17,1.07272727272727
18,1.14545454545455
19,1.16363636363636
20,1.23636363636364
21,1.27272727272727
22,1.27272727272727
23,1.29090909090909
24,1.34545454545455
25,1.34545454545455
26,1.38181818181818
27,1.34545454545455
28,1.4
29,1.4
30,1.4
31,1.38181818181818
32,1.4
33,1.41818181818182
34,1.43636363636364
35,1.43636363636364
36,1.45454545454545
37,1.47272727272727
38,1.49090909090909
39,1.43636363636364
40,1.47272727272727
41,1.47272727272727
42,1.49090909090909
43,1.50909090909091
44,1.52727272727273
45,1.56363636363636
46,1.6
47,1.58181818181818
48,1.58181818181818
49,1.56363636363636
50,1.54545454545455
51,1.50909090909091
52,1.54545454545455
53,1.54545454545455
54,1.54545454545455
55,1.56363636363636
56,1.56363636363636
57,1.56363636363636
58,1.54545454545455
59,1.6
60,1.61818181818182
61,1.61818181818182
62,1.61818181818182
63,1.69090909090909
64,1.70909090909091
65,1.74545454545455
66,1.76363636363636
67,1.76363636363636
68,1.8
69,1.78181818181818
70,1.78181818181818
71,1.76363636363636
72,1.76363636363636
73,1.76363636363636
74,1.74545454545455
75,1.78181818181818
76,1.74545454545455
77,1.74545454545455
78,1.72727272727273
79,1.70909090909091
80,1.70909090909091
81,1.74545454545455
82,1.76363636363636
83,1.70909090909091
84,1.74545454545455
85,1.74545454545455
86,1.76363636363636
87,1.78181818181818
88,1.81818181818182
89,1.81818181818182
90,1.83636363636364
91,1.78181818181818
92,1.78181818181818
93,1.74545454545455
94,1.74545454545455
95,1.74545454545455
96,1.74545454545455
97,1.74545454545455
98,1.76363636363636
99,1.74545454545455
100,1.72727272727273
101,1.70909090909091
102,1.70909090909091
103,1.70909090909091
104,1.74545454545455
105,1.69090909090909
106,1.69090909090909
107,1.72727272727273
108,1.72727272727273
109,1.72727272727273
110,1.70909090909091
111,1.72727272727273
112,1.78181818181818
113,1.81818181818182
114,1.89090909090909
115,1.90909090909091
116,1.90909090909091
117,1.89090909090909
118,1.89090909090909
119,1.85454545454545
120,1.83636363636364
121,1.83636363636364
122,1.81818181818182
123,1.81818181818182
124,1.81818181818182
125,1.78181818181818
126,1.8
127,1.81818181818182
128,1.81818181818182
129,1.76363636363636
130,1.72727272727273
131,1.8
132,1.85454545454545
133,1.81818181818182
134,1.69090909090909
135,1.69090909090909
136,1.69090909090909
137,1.69090909090909
138,1.69090909090909
139,1.69090909090909
140,1.69090909090909
141,1.69090909090909
142,1.69090909090909
143,1.69090909090909
144,1.69090909090909
145,1.69090909090909
146,1.69090909090909
147,1.69090909090909
148,1.69090909090909
149,1.69090909090909
150,1.69090909090909
151,1.69090909090909
152,1.69090909090909
153,1.69090909090909
154,1.69090909090909
155,1.69090909090909
156,1.69090909090909
157,1.69090909090909
158,1.69090909090909
159,1.69090909090909
160,1.69090909090909
161,1.69090909090909
162,1.69090909090909
163,1.69090909090909
164,1.69090909090909
165,1.69090909090909
166,1.69090909090909
167,1.69090909090909
168,1.69090909090909
169,1.69090909090909
170,1.69090909090909
171,1.69090909090909
172,1.69090909090909
173,1.69090909090909
174,1.69090909090909
175,1.69090909090909
176,1.69090909090909
177,1.69090909090909
178,1.69090909090909
179,1.69090909090909
180,1.69090909090909
181,1.69090909090909
182,1.69090909090909
183,1.69090909090909
184,1.69090909090909
185,1.69090909090909
186,1.69090909090909
