Sec,sad
1,0
2,0.0166666666666667
3,0.316666666666667
4,0.65
5,0.766666666666667
6,0.916666666666667
7,0.933333333333333
8,1.03333333333333
9,1.11666666666667
10,1.2
11,1.25
12,1.28333333333333
13,1.28333333333333
14,1.3
15,1.36666666666667
16,1.41666666666667
17,1.4
18,1.38333333333333
19,1.4
20,1.41666666666667
21,1.45
22,1.55
23,1.53333333333333
24,1.58333333333333
25,1.63333333333333
26,1.63333333333333
27,1.63333333333333
28,1.63333333333333
29,1.63333333333333
30,1.61666666666667
31,1.61666666666667
32,1.63333333333333
33,1.68333333333333
34,1.66666666666667
35,1.66666666666667
36,1.65
37,1.65
38,1.63333333333333
39,1.63333333333333
40,1.68333333333333
41,1.68333333333333
42,1.68333333333333
43,1.61666666666667
44,1.6
45,1.6
46,1.6
47,1.6
48,1.6
49,1.6
50,1.65
51,1.66666666666667
52,1.75
53,1.75
54,1.78333333333333
55,1.76666666666667
56,1.8
57,1.78333333333333
58,1.75
59,1.73333333333333
60,1.76666666666667
61,1.78333333333333
62,1.76666666666667
63,1.78333333333333
64,1.78333333333333
65,1.75
66,1.76666666666667
67,1.76666666666667
68,1.76666666666667
69,1.76666666666667
70,1.78333333333333
71,1.8
72,1.8
73,1.81666666666667
74,1.83333333333333
75,1.83333333333333
76,1.81666666666667
77,1.81666666666667
78,1.73333333333333
79,1.73333333333333
80,1.75
81,1.76666666666667
82,1.78333333333333
83,1.78333333333333
84,1.8
85,1.81666666666667
86,1.83333333333333
87,1.81666666666667
88,1.81666666666667
89,1.85
90,1.86666666666667
91,1.9
92,1.9
93,1.9
94,1.91666666666667
95,1.9
96,1.9
97,1.9
98,1.93333333333333
99,1.95
100,1.91666666666667
101,1.91666666666667
102,1.91666666666667
103,1.9
104,1.93333333333333
105,1.95
106,1.95
107,1.95
108,1.98333333333333
109,1.98333333333333
110,1.98333333333333
111,2.01666666666667
112,2.01666666666667
113,2.03333333333333
114,2.03333333333333
115,2.05
116,2.03333333333333
117,2.05
118,2.05
119,2.03333333333333
120,2
121,2
122,1.98333333333333
123,2.03333333333333
124,2.01666666666667
125,2.03333333333333
126,2
127,2.05
128,2.08333333333333
129,2.1
130,2.1
131,2.11666666666667
132,2.1
133,2.08333333333333
134,2.15
135,2.15
136,2.15
137,2.13333333333333
138,2.13333333333333
139,2.13333333333333
140,2.13333333333333
141,2.16666666666667
142,2.16666666666667
143,2.13333333333333
144,2.11666666666667
145,2.06666666666667
146,2.08333333333333
147,2.05
148,2.06666666666667
149,2.06666666666667
150,2.06666666666667
151,2.06666666666667
152,1.93333333333333
153,1.93333333333333
154,1.93333333333333
155,1.93333333333333
156,1.93333333333333
157,1.93333333333333
158,1.93333333333333
159,1.93333333333333
160,1.93333333333333
161,1.93333333333333
162,1.93333333333333
163,1.93333333333333
164,1.93333333333333
165,1.93333333333333
166,1.93333333333333
167,1.93333333333333
168,1.93333333333333
169,1.93333333333333
170,1.93333333333333
171,1.93333333333333
172,1.93333333333333
173,1.93333333333333
174,1.93333333333333
175,1.93333333333333
176,1.93333333333333
177,1.93333333333333
178,1.93333333333333
179,1.93333333333333
180,1.93333333333333
181,1.93333333333333
182,1.93333333333333
183,1.93333333333333
184,1.93333333333333
185,1.93333333333333
186,1.93333333333333
