Sec,touched
1,0
2,0
3,0
4,0.0666666666666667
5,0.2
6,0.244444444444444
7,0.311111111111111
8,0.488888888888889
9,0.577777777777778
10,0.622222222222222
11,0.688888888888889
12,0.822222222222222
13,0.844444444444444
14,0.911111111111111
15,0.977777777777778
16,1.02222222222222
17,1.06666666666667
18,1.11111111111111
19,1.11111111111111
20,1.15555555555556
21,1.11111111111111
22,1.11111111111111
23,1.11111111111111
24,1.11111111111111
25,1.08888888888889
26,1.04444444444444
27,1.06666666666667
28,1.11111111111111
29,1.11111111111111
30,1.08888888888889
31,1.11111111111111
32,1.15555555555556
33,1.17777777777778
34,1.17777777777778
35,1.15555555555556
36,1.15555555555556
37,1.15555555555556
38,1.15555555555556
39,1.15555555555556
40,1.15555555555556
41,1.17777777777778
42,1.28888888888889
43,1.31111111111111
44,1.31111111111111
45,1.31111111111111
46,1.31111111111111
47,1.33333333333333
48,1.35555555555556
49,1.33333333333333
50,1.35555555555556
51,1.35555555555556
52,1.35555555555556
53,1.4
54,1.44444444444444
55,1.51111111111111
56,1.55555555555556
57,1.55555555555556
58,1.53333333333333
59,1.48888888888889
60,1.53333333333333
61,1.53333333333333
62,1.55555555555556
63,1.57777777777778
64,1.6
65,1.62222222222222
66,1.64444444444444
67,1.64444444444444
68,1.64444444444444
69,1.66666666666667
70,1.66666666666667
71,1.66666666666667
72,1.64444444444444
73,1.77777777777778
74,1.73333333333333
75,1.73333333333333
76,1.75555555555556
77,1.75555555555556
78,1.82222222222222
79,1.84444444444444
80,1.84444444444444
81,1.8
82,1.77777777777778
83,1.8
84,1.75555555555556
85,1.75555555555556
86,1.75555555555556
87,1.8
88,1.8
89,1.77777777777778
90,1.82222222222222
91,1.84444444444444
92,1.86666666666667
93,1.91111111111111
94,1.91111111111111
95,1.88888888888889
96,1.86666666666667
97,1.84444444444444
98,1.84444444444444
99,1.82222222222222
100,1.82222222222222
101,1.82222222222222
102,1.84444444444444
103,1.8
104,1.8
105,1.77777777777778
106,1.82222222222222
107,1.77777777777778
108,1.8
109,1.82222222222222
110,1.77777777777778
111,1.77777777777778
112,1.82222222222222
113,1.77777777777778
114,1.77777777777778
115,1.8
116,1.8
117,1.8
118,1.77777777777778
119,1.8
120,1.8
121,1.82222222222222
122,1.82222222222222
123,1.86666666666667
124,1.95555555555556
125,2.04444444444444
126,2.06666666666667
127,2.04444444444444
128,2.02222222222222
129,2.04444444444444
130,2.06666666666667
131,2.06666666666667
132,2.04444444444444
133,2.08888888888889
134,2.08888888888889
135,2.11111111111111
136,2.17777777777778
137,2.17777777777778
138,2.17777777777778
139,2.15555555555556
140,2.15555555555556
141,2.15555555555556
142,2.13333333333333
143,2.13333333333333
144,2.15555555555556
145,2.13333333333333
146,2.13333333333333
147,2.13333333333333
148,2.13333333333333
149,2.13333333333333
150,2.13333333333333
151,2.13333333333333
152,2.11111111111111
153,2.11111111111111
154,2.11111111111111
155,2.11111111111111
156,2.13333333333333
157,2.11111111111111
158,2.13333333333333
159,2.15555555555556
160,2.15555555555556
161,2.17777777777778
162,2.17777777777778
163,1.84444444444444
164,1.84444444444444
165,1.84444444444444
166,1.84444444444444
167,1.84444444444444
168,1.84444444444444
169,1.84444444444444
170,1.84444444444444
171,1.84444444444444
172,1.84444444444444
173,1.84444444444444
174,1.84444444444444
175,1.84444444444444
176,1.84444444444444
177,1.84444444444444
178,1.84444444444444
179,1.84444444444444
180,1.84444444444444
181,1.84444444444444
182,1.84444444444444
183,1.84444444444444
184,1.84444444444444
185,1.84444444444444
186,1.84444444444444
