Sec,connection
1,0
2,0.0140845070422535
3,0.140845070422535
4,0.23943661971831
5,0.28169014084507
6,0.352112676056338
7,0.450704225352113
8,0.52112676056338
9,0.591549295774648
10,0.605633802816901
11,0.647887323943662
12,0.647887323943662
13,0.690140845070423
14,0.71830985915493
15,0.76056338028169
16,0.845070422535211
17,0.929577464788732
18,1.04225352112676
19,1.07042253521127
20,1.16901408450704
21,1.2112676056338
22,1.22535211267606
23,1.23943661971831
24,1.23943661971831
25,1.28169014084507
26,1.30985915492958
27,1.32394366197183
28,1.35211267605634
29,1.35211267605634
30,1.40845070422535
31,1.46478873239437
32,1.50704225352113
33,1.49295774647887
34,1.52112676056338
35,1.52112676056338
36,1.57746478873239
37,1.6056338028169
38,1.63380281690141
39,1.64788732394366
40,1.64788732394366
41,1.64788732394366
42,1.64788732394366
43,1.59154929577465
44,1.73239436619718
45,1.76056338028169
46,1.83098591549296
47,1.8169014084507
48,1.83098591549296
49,1.83098591549296
50,1.87323943661972
51,1.87323943661972
52,1.87323943661972
53,1.85915492957746
54,1.85915492957746
55,1.84507042253521
56,1.84507042253521
57,1.8169014084507
58,1.8169014084507
59,1.80281690140845
60,1.88732394366197
61,1.87323943661972
62,1.90140845070423
63,1.87323943661972
64,1.83098591549296
65,1.8169014084507
66,1.80281690140845
67,1.77464788732394
68,1.76056338028169
69,1.76056338028169
70,1.77464788732394
71,1.76056338028169
72,1.74647887323944
73,1.76056338028169
74,1.74647887323944
75,1.7887323943662
76,1.84507042253521
77,1.84507042253521
78,1.77464788732394
79,1.76056338028169
80,1.76056338028169
81,1.74647887323944
82,1.76056338028169
83,1.76056338028169
84,1.76056338028169
85,1.77464788732394
86,1.7887323943662
87,1.77464788732394
88,1.77464788732394
89,1.77464788732394
90,1.7887323943662
91,1.83098591549296
92,1.84507042253521
93,1.85915492957746
94,1.91549295774648
95,1.92957746478873
96,2
97,2.02816901408451
98,2.04225352112676
99,2.01408450704225
100,2
101,1.98591549295775
102,1.94366197183099
103,1.94366197183099
104,1.94366197183099
105,1.92957746478873
106,1.91549295774648
107,1.92957746478873
108,1.94366197183099
109,2.01408450704225
110,2.05633802816901
111,2.04225352112676
112,2.11267605633803
113,2.11267605633803
114,2.12676056338028
115,2.09859154929577
116,2.09859154929577
117,2.11267605633803
118,2.08450704225352
119,2.08450704225352
120,2.07042253521127
121,2.04225352112676
122,2.04225352112676
123,2.02816901408451
124,2
125,2
126,2
127,2.01408450704225
128,2.02816901408451
129,2.02816901408451
130,2.04225352112676
131,2.05633802816901
132,2
133,1.97183098591549
134,2
135,1.98591549295775
136,1.97183098591549
137,1.97183098591549
138,1.98591549295775
139,2.04225352112676
140,2.09859154929577
141,2.1830985915493
142,2.23943661971831
143,2.26760563380282
144,2.26760563380282
145,2.23943661971831
146,2.23943661971831
147,2.23943661971831
148,2.25352112676056
149,2.2112676056338
150,2.19718309859155
151,2.19718309859155
152,2.16901408450704
153,2.15492957746479
154,2.16901408450704
155,2.16901408450704
156,2.16901408450704
157,2.15492957746479
158,2.14084507042254
159,2.14084507042254
160,2.14084507042254
161,2.15492957746479
162,2.15492957746479
163,2.15492957746479
164,2.15492957746479
165,2.15492957746479
166,2.15492957746479
167,2.15492957746479
168,2.07042253521127
169,2.04225352112676
170,2.01408450704225
171,1.98591549295775
172,1.98591549295775
173,1.98591549295775
174,1.98591549295775
175,1.98591549295775
176,1.98591549295775
177,1.98591549295775
178,1.98591549295775
179,1.98591549295775
180,1.98591549295775
181,1.98591549295775
182,1.98591549295775
183,1.98591549295775
184,1.98591549295775
185,1.98591549295775
186,1.98591549295775
