Sec,warmth
1,0
2,0.0185185185185185
3,0.037037037037037
4,0.037037037037037
5,0.0555555555555556
6,0.111111111111111
7,0.12962962962963
8,0.203703703703704
9,0.240740740740741
10,0.296296296296296
11,0.314814814814815
12,0.388888888888889
13,0.425925925925926
14,0.537037037037037
15,0.611111111111111
16,0.722222222222222
17,0.814814814814815
18,0.851851851851852
19,0.851851851851852
20,0.851851851851852
21,0.851851851851852
22,0.851851851851852
23,0.888888888888889
24,0.87037037037037
25,0.888888888888889
26,0.962962962962963
27,1.01851851851852
28,1.01851851851852
29,1.01851851851852
30,1.03703703703704
31,1.07407407407407
32,1.12962962962963
33,1.14814814814815
34,1.12962962962963
35,1.05555555555556
36,1.03703703703704
37,1.03703703703704
38,1.01851851851852
39,1.01851851851852
40,1
41,1.01851851851852
42,1.12962962962963
43,1.18518518518519
44,1.22222222222222
45,1.22222222222222
46,1.25925925925926
47,1.24074074074074
48,1.27777777777778
49,1.2037037037037
50,1.16666666666667
51,1.18518518518519
52,1.2037037037037
53,1.24074074074074
54,1.2037037037037
55,1.2037037037037
56,1.31481481481481
57,1.31481481481481
58,1.2037037037037
59,1.27777777777778
60,1.38888888888889
61,1.37037037037037
62,1.37037037037037
63,1.38888888888889
64,1.38888888888889
65,1.38888888888889
66,1.35185185185185
67,1.37037037037037
68,1.35185185185185
69,1.35185185185185
70,1.35185185185185
71,1.35185185185185
72,1.46296296296296
73,1.46296296296296
74,1.48148148148148
75,1.48148148148148
76,1.48148148148148
77,1.48148148148148
78,1.44444444444444
79,1.44444444444444
80,1.44444444444444
81,1.42592592592593
82,1.40740740740741
83,1.38888888888889
84,1.37037037037037
85,1.37037037037037
86,1.42592592592593
87,1.42592592592593
88,1.44444444444444
89,1.44444444444444
90,1.42592592592593
91,1.42592592592593
92,1.40740740740741
93,1.38888888888889
94,1.33333333333333
95,1.35185185185185
96,1.42592592592593
97,1.46296296296296
98,1.42592592592593
99,1.38888888888889
100,1.33333333333333
101,1.44444444444444
102,1.5
103,1.48148148148148
104,1.59259259259259
105,1.57407407407407
106,1.5
107,1.5
108,1.51851851851852
109,1.53703703703704
110,1.55555555555556
111,1.59259259259259
112,1.57407407407407
113,1.53703703703704
114,1.5
115,1.46296296296296
116,1.5
117,1.51851851851852
118,1.57407407407407
119,1.59259259259259
120,1.66666666666667
121,1.64814814814815
122,1.64814814814815
123,1.62962962962963
124,1.61111111111111
125,1.55555555555556
126,1.53703703703704
127,1.5
128,1.5
129,1.57407407407407
130,1.59259259259259
131,1.62962962962963
132,1.66666666666667
133,1.62962962962963
134,1.66666666666667
135,1.66666666666667
136,1.68518518518519
137,1.68518518518519
138,1.68518518518519
139,1.64814814814815
140,1.66666666666667
141,1.66666666666667
142,1.68518518518519
143,1.66666666666667
144,1.72222222222222
145,1.72222222222222
146,1.7037037037037
147,1.7037037037037
148,1.66666666666667
149,1.66666666666667
150,1.66666666666667
151,1.68518518518519
152,1.74074074074074
153,1.7962962962963
154,1.81481481481481
155,1.85185185185185
156,1.83333333333333
157,1.83333333333333
158,1.83333333333333
159,1.85185185185185
160,1.83333333333333
161,1.85185185185185
162,1.85185185185185
163,1.81481481481481
164,1.7962962962963
165,1.75925925925926
166,1.7962962962963
167,1.7962962962963
168,1.83333333333333
169,1.83333333333333
170,1.85185185185185
171,1.75925925925926
172,1.75925925925926
173,1.74074074074074
174,1.72222222222222
175,1.72222222222222
176,1.72222222222222
177,1.7037037037037
178,1.64814814814815
179,1.61111111111111
180,1.55555555555556
181,1.51851851851852
182,1.51851851851852
183,1.51851851851852
184,1.55555555555556
185,1.62962962962963
186,1.66666666666667
