Sec,touched
1,0
2,0.025
3,0.075
4,0.15
5,0.2
6,0.25
7,0.25
8,0.275
9,0.3
10,0.3
11,0.325
12,0.4
13,0.5
14,0.5
15,0.55
16,0.6
17,0.7
18,0.8
19,0.825
20,0.9
21,0.925
22,0.975
23,1.025
24,1.025
25,1.1
26,1.075
27,1.1
28,1.1
29,1.15
30,1.225
31,1.275
32,1.35
33,1.425
34,1.425
35,1.425
36,1.5
37,1.55
38,1.575
39,1.625
40,1.625
41,1.6
42,1.7
43,1.725
44,1.725
45,1.775
46,1.825
47,1.85
48,1.875
49,1.875
50,1.925
51,1.925
52,1.875
53,1.85
54,1.85
55,1.85
56,1.85
57,1.85
58,1.825
59,1.825
60,1.775
61,1.8
62,1.825
63,1.8
64,1.875
65,1.875
66,1.9
67,1.925
68,1.925
69,1.975
70,1.95
71,1.95
72,1.95
73,1.95
74,1.95
75,1.975
76,1.975
77,1.95
78,1.925
79,1.875
80,1.8
81,1.75
82,1.775
83,1.775
84,1.825
85,1.8
86,1.725
87,1.725
88,1.725
89,1.725
90,1.725
91,1.825
92,1.875
93,1.95
94,1.95
95,1.975
96,2.075
97,2.075
98,2.05
99,2.025
100,2.025
101,2.05
102,2.025
103,2.025
104,2.025
105,2.05
106,2.1
107,2.075
108,2.1
109,2.125
110,2.15
111,2.15
112,2.15
113,2.125
114,2.1
115,2.1
116,2.1
117,2.1
118,2.1
119,2.15
120,2.15
121,2.125
122,2.075
123,2.125
124,2.125
125,2.15
126,2.175
127,2.2
128,2.225
129,2.225
130,2.25
131,2.25
132,2.25
133,2.25
134,2.2
135,2.175
136,2.175
137,2.2
138,2.225
139,2.325
140,2.425
141,2.525
142,2.525
143,2.6
144,2.6
145,2.65
146,2.65
147,2.575
148,2.575
149,2.6
150,2.6
151,2.55
152,2.55
153,2.525
154,2.525
155,2.525
156,2.525
157,2.5
158,2.5
159,2.475
160,2.475
161,2.475
162,2.55
163,2.55
164,2.525
165,2.525
166,2.5
167,2.4
168,2.3
169,2.15
170,1.825
171,1.825
172,1.825
173,1.825
174,1.825
175,1.825
176,1.825
177,1.825
178,1.825
179,1.825
180,1.825
181,1.825
182,1.825
183,1.825
184,1.825
185,1.825
186,1.825
