Sec,sad
1,0
2,0.09375
3,0.125
4,0.15625
5,0.3125
6,0.375
7,0.375
8,0.40625
9,0.4375
10,0.5
11,0.46875
12,0.46875
13,0.46875
14,0.5
15,0.5
16,0.5
17,0.5
18,0.5
19,0.4375
20,0.4375
21,0.4375
22,0.40625
23,0.40625
24,0.40625
25,0.375
26,0.5
27,0.5
28,0.5
29,0.5
30,0.46875
31,0.4375
32,0.4375
33,0.4375
34,0.40625
35,0.40625
36,0.4375
37,0.46875
38,0.5
39,0.53125
40,0.5
41,0.5625
42,0.5625
43,0.5625
44,0.625
45,0.625
46,0.625
47,0.625
48,0.625
49,0.625
50,0.625
51,0.65625
52,0.65625
53,0.53125
54,0.5625
55,0.5625
56,0.53125
57,0.5
58,0.5
59,0.5
60,0.5
61,0.5
62,0.53125
63,0.53125
64,0.53125
65,0.5625
66,0.59375
67,0.625
68,0.625
69,0.625
70,0.625
71,0.59375
72,0.5625
73,0.5625
74,0.59375
75,0.59375
76,0.5625
77,0.53125
78,0.53125
79,0.53125
80,0.5
81,0.5
82,0.5
83,0.46875
84,0.46875
85,0.46875
86,0.46875
87,0.46875
88,0.4375
89,0.40625
90,0.40625
91,0.40625
92,0.40625
93,0.46875
94,0.5
95,0.53125
96,0.53125
97,0.625
98,0.65625
99,0.59375
100,0.59375
101,0.71875
102,0.71875
103,0.71875
104,0.65625
105,0.71875
106,0.71875
107,0.71875
108,0.78125
109,0.78125
110,0.8125
111,0.78125
112,0.78125
113,0.78125
114,0.78125
115,0.6875
116,0.6875
117,0.6875
118,0.65625
119,0.65625
120,1.28125
121,1.375
122,1.375
123,1.375
124,1.375
125,1.375
126,1.375
127,1.375
128,1.375
129,1.375
130,1.375
131,1.375
132,1.375
133,1.375
134,1.375
135,1.375
136,1.375
137,1.375
138,1.375
139,1.375
140,1.375
141,1.375
142,1.375
143,1.375
144,1.375
145,1.375
146,1.375
147,1.375
148,1.375
149,1.375
150,1.375
151,1.375
152,1.375
153,1.375
154,1.375
155,1.375
156,1.375
157,1.375
158,1.375
159,1.375
160,1.375
161,1.375
162,1.375
163,1.375
164,1.375
165,1.375
166,1.375
167,1.375
168,1.375
169,1.375
170,1.375
171,1.375
172,1.375
173,1.375
174,1.375
175,1.375
176,1.375
177,1.375
178,1.375
179,1.375
180,1.375
181,1.375
182,1.375
183,1.375
184,1.375
185,1.375
186,1.375
