Sec,Env
0,-32.0868163462675
1,-44.2938607447298
2,-27.1966733953375
3,-23.8437224576626
4,-23.3496001245881
5,-23.6318088059263
6,-22.8911283548966
7,-21.9953152236798
8,-22.5331261016202
9,-22.7993640726246
10,-21.6643314994358
11,-21.3688055251004
12,-22.6687694981091
13,-21.9643545936293
14,-21.6924363016569
15,-21.87653285075
16,-21.4480921779574
17,-20.2835726012602
18,-20.5175020272723
19,-20.8035141641598
20,-20.8993309372698
21,-17.0379179129536
22,-14.1411145199814
23,-15.9661174561842
24,-14.6658968382071
25,-16.0369667699573
26,-16.8742957515281
27,-15.7590804341543
28,-15.6466222443058
29,-16.4748999797528
30,-17.337537387094
31,-16.0228724915716
32,-16.0222484295411
33,-16.4955535293891
34,-14.9337916063476
35,-14.6169619445964
36,-13.9030491192417
37,-14.3513695277814
38,-14.1300172769922
39,-13.8997951279181
40,-14.7370229572527
41,-14.7415766642996
42,-14.087005324005
43,-14.909936519374
44,-14.6935007127464
45,-14.3604312626643
46,-14.4626457174835
47,-14.2247818132051
48,-14.6736841797655
49,-14.496523846974
50,-14.2177173407662
51,-14.0667210265229
52,-13.9561267007315
53,-14.6029712480656
54,-14.927541476518
55,-14.5184378029346
56,-14.9783016302431
57,-14.8496601527503
58,-14.7903536264636
59,-14.4621480968073
60,-14.4809943407801
61,-14.3994881056614
62,-14.7046782782116
63,-14.4331718836169
64,-14.1198900772993
65,-14.0481729909598
66,-14.0362688344055
67,-14.8709272277845
68,-14.8832157996894
69,-14.6573882647361
70,-15.0314656880542
71,-14.8207606993773
72,-14.8116916977007
73,-14.3253105831467
74,-14.6846306029568
75,-14.727943230653
76,-14.3896260893607
77,-14.377118404125
78,-14.5414067025327
79,-14.437323961766
80,-14.8080009867232
81,-14.4829748001938
82,-14.7007457523733
83,-14.5908325028967
84,-14.6228836682599
85,-14.6860672607011
86,-14.5301696396425
87,-14.7229017628585
88,-14.7025225801092
89,-14.5686001254864
90,-17.0260257359727
91,-18.6477436764526
92,-17.9359292169742
93,-17.8082240326845
94,-19.1523197701134
95,-24.1640889005157
96,-27.6635569366684
97,-27.3629510463814
98,-30.5440798011608
99,-33.0248999082312
100,-35.129854623439
101,-36.3762150950382
102,-38.5954138612802
103,-34.9872260063802
104,-37.6871368520925
105,-35.2174400577078
106,-34.1407143324539
107,-33.4427514199206
108,-36.669012620035
109,-35.7536544820293
110,-33.8212564846053
111,-32.4269463997291
112,-33.6408538698531
113,-39.8642007720248
114,-41.2327001822813
115,-49.1870845828944
116,-56.8559744935529
117,-69.147741594254
118,-64.6788150864199
119,-76.4202136148615
120,-66.7701254809558
