Sec,joy
1,0
2,0.02
3,0.04
4,0.14
5,0.18
6,0.18
7,0.2
8,0.22
9,0.22
10,0.2
11,0.22
12,0.22
13,0.26
14,0.26
15,0.26
16,0.24
17,0.24
18,0.24
19,0.24
20,0.26
21,0.28
22,0.28
23,0.26
24,0.28
25,0.3
26,0.3
27,0.3
28,0.28
29,0.32
30,0.32
31,0.32
32,0.32
33,0.32
34,0.34
35,0.36
36,0.38
37,0.38
38,0.4
39,0.42
40,0.42
41,0.44
42,0.48
43,0.52
44,0.54
45,0.54
46,0.58
47,0.58
48,0.6
49,0.6
50,0.58
51,0.58
52,0.56
53,0.66
54,0.78
55,0.86
56,0.9
57,0.9
58,0.9
59,0.94
60,0.94
61,0.98
62,1
63,0.94
64,0.94
65,0.96
66,0.98
67,0.98
68,1
69,1
70,0.98
71,0.96
72,0.98
73,1
74,1
75,1.04
76,1.08
77,1.08
78,1.04
79,1.04
80,1.04
81,1.04
82,1.02
83,1
84,1
85,1.02
86,1.06
87,1.06
88,1.1
89,1.14
90,1.14
91,1.14
92,1.14
93,1.14
94,1.12
95,1.08
96,1.04
97,1.06
98,1.1
99,1.08
100,1.08
101,1.06
102,1.04
103,0.98
104,0.96
105,0.94
106,0.94
107,0.92
108,0.92
109,0.94
110,0.96
111,0.94
112,0.98
113,0.98
114,0.98
115,0.98
116,0.98
117,0.96
118,0.94
119,0.94
120,0.92
121,0.94
122,0.92
123,0.92
124,0.92
125,0.86
126,0.88
127,0.88
128,0.88
129,0.88
130,0.82
131,0.82
132,0.84
133,0.84
134,0.86
135,0.84
136,0.82
137,0.82
138,0.82
139,0.8
140,0.78
141,0.78
142,0.78
143,0.76
144,0.74
145,0.7
146,0.68
147,0.68
148,0.64
149,0.62
150,0.6
151,0.62
152,1.14
153,1.14
154,1.14
155,1.14
156,1.14
157,1.14
158,1.14
159,1.14
160,1.14
161,1.14
162,1.14
163,1.14
164,1.14
165,1.14
166,1.14
167,1.14
168,1.14
169,1.14
170,1.14
171,1.14
172,1.14
173,1.14
174,1.14
175,1.14
176,1.14
177,1.14
178,1.14
179,1.14
180,1.14
181,1.14
182,1.14
183,1.14
184,1.14
185,1.14
186,1.14
