Sec,joy
1,0.0689655172413793
2,0.224137931034483
3,0.53448275862069
4,0.672413793103448
5,0.862068965517241
6,1.05172413793103
7,1.31034482758621
8,1.5
9,1.62068965517241
10,1.70689655172414
11,1.72413793103448
12,1.77586206896552
13,1.82758620689655
14,1.86206896551724
15,1.94827586206897
16,1.94827586206897
17,1.87931034482759
18,1.79310344827586
19,1.67241379310345
20,1.62068965517241
21,1.56896551724138
22,1.56896551724138
23,1.53448275862069
24,1.51724137931034
25,1.53448275862069
26,1.5
27,1.55172413793103
28,1.6551724137931
29,1.72413793103448
30,1.86206896551724
31,1.96551724137931
32,1.98275862068966
33,2.03448275862069
34,2.06896551724138
35,2.05172413793103
36,2.08620689655172
37,2.05172413793103
38,2.13793103448276
39,2.24137931034483
40,2.22413793103448
41,2.25862068965517
42,2.25862068965517
43,2.31034482758621
44,2.29310344827586
45,2.29310344827586
46,2.29310344827586
47,2.29310344827586
48,2.25862068965517
49,2.18965517241379
50,2.18965517241379
51,2.20689655172414
52,2.31034482758621
53,2.43103448275862
54,2.48275862068966
55,2.60344827586207
56,2.6551724137931
57,2.6551724137931
58,2.63793103448276
59,2.62068965517241
60,2.63793103448276
61,2.67241379310345
62,2.68965517241379
63,2.74137931034483
64,2.81034482758621
65,2.82758620689655
66,2.8448275862069
67,2.86206896551724
68,2.86206896551724
69,2.8448275862069
70,2.8448275862069
71,2.8448275862069
72,2.8448275862069
73,2.86206896551724
74,2.82758620689655
75,2.82758620689655
76,2.82758620689655
77,2.86206896551724
78,2.82758620689655
79,2.86206896551724
80,2.8448275862069
81,2.79310344827586
82,2.77586206896552
83,2.77586206896552
84,2.77586206896552
85,2.77586206896552
86,2.74137931034483
87,2.74137931034483
88,2.75862068965517
89,2.77586206896552
90,2.77586206896552
91,2.77586206896552
92,2.8448275862069
93,2.86206896551724
94,2.89655172413793
95,2.89655172413793
96,2.8448275862069
97,2.81034482758621
98,2.74137931034483
99,2.74137931034483
100,2.67241379310345
101,2.44827586206897
102,2.39655172413793
103,2.31034482758621
104,2.25862068965517
105,2.18965517241379
106,2.13793103448276
107,2.10344827586207
108,2.08620689655172
109,2.06896551724138
110,2
111,2.05172413793103
112,2
113,2
114,1.93103448275862
115,1.93103448275862
116,1.87931034482759
117,1.8448275862069
118,1.86206896551724
119,1.77586206896552
120,1.81034482758621
121,1.89655172413793
122,1.96551724137931
123,2.03448275862069
124,2.22413793103448
125,2.43103448275862
126,2.48275862068966
127,2.48275862068966
128,2.48275862068966
129,2.48275862068966
130,2.55172413793103
131,2.55172413793103
132,2.58620689655172
133,2.58620689655172
134,2.63793103448276
135,2.63793103448276
136,2.63793103448276
137,2.62068965517241
138,2.62068965517241
139,2.68965517241379
140,2.70689655172414
141,2.68965517241379
142,2.68965517241379
143,2.75862068965517
144,2.75862068965517
145,2.75862068965517
146,2.75862068965517
147,2.75862068965517
148,2.79310344827586
149,2.79310344827586
150,2.77586206896552
151,2.74137931034483
152,2.75862068965517
153,2.75862068965517
154,2.70689655172414
155,2.70689655172414
156,2.70689655172414
157,2.74137931034483
158,2.74137931034483
159,2.77586206896552
160,2.81034482758621
161,2.81034482758621
162,2.67241379310345
163,2.22413793103448
164,2.22413793103448
165,2.22413793103448
166,2.22413793103448
167,2.22413793103448
168,2.22413793103448
169,2.22413793103448
170,2.22413793103448
171,2.22413793103448
172,2.22413793103448
173,2.22413793103448
174,2.22413793103448
175,2.22413793103448
176,2.22413793103448
177,2.22413793103448
178,2.22413793103448
179,2.22413793103448
180,2.22413793103448
181,2.22413793103448
182,2.22413793103448
183,2.22413793103448
184,2.22413793103448
185,2.22413793103448
186,2.22413793103448
