Sec,beauty
1,0.0192307692307692
2,0.0192307692307692
3,0.0192307692307692
4,0.0576923076923077
5,0.307692307692308
6,0.538461538461538
7,0.596153846153846
8,0.692307692307692
9,0.769230769230769
10,0.961538461538462
11,0.961538461538462
12,1.07692307692308
13,1.19230769230769
14,1.40384615384615
15,1.46153846153846
16,1.69230769230769
17,1.78846153846154
18,1.86538461538462
19,1.92307692307692
20,1.90384615384615
21,1.90384615384615
22,1.92307692307692
23,1.90384615384615
24,1.90384615384615
25,1.90384615384615
26,1.96153846153846
27,1.96153846153846
28,1.98076923076923
29,2.01923076923077
30,2.05769230769231
31,2.07692307692308
32,2.07692307692308
33,2.03846153846154
34,2.03846153846154
35,2.07692307692308
36,2.01923076923077
37,2
38,1.96153846153846
39,1.94230769230769
40,1.96153846153846
41,1.94230769230769
42,2.03846153846154
43,2.07692307692308
44,2.13461538461538
45,2.21153846153846
46,2.23076923076923
47,2.19230769230769
48,2.19230769230769
49,2.23076923076923
50,2.25
51,2.21153846153846
52,2.19230769230769
53,2.19230769230769
54,2.15384615384615
55,2.07692307692308
56,2.05769230769231
57,2.19230769230769
58,2.13461538461538
59,2.11538461538462
60,2.15384615384615
61,2.17307692307692
62,2.13461538461538
63,2.15384615384615
64,2.11538461538462
65,2.11538461538462
66,2.09615384615385
67,2.09615384615385
68,2.01923076923077
69,1.98076923076923
70,1.92307692307692
71,2
72,2.13461538461538
73,2.13461538461538
74,2.15384615384615
75,2.17307692307692
76,2.19230769230769
77,2.19230769230769
78,2.21153846153846
79,2.23076923076923
80,2.21153846153846
81,2.25
82,2.15384615384615
83,2.11538461538462
84,2.17307692307692
85,2.15384615384615
86,2.17307692307692
87,2.25
88,2.30769230769231
89,2.30769230769231
90,2.28846153846154
91,2.26923076923077
92,2.26923076923077
93,2.30769230769231
94,2.32692307692308
95,2.34615384615385
96,2.32692307692308
97,2.32692307692308
98,2.30769230769231
99,2.28846153846154
100,2.25
101,2.34615384615385
102,2.36538461538462
103,2.26923076923077
104,2.26923076923077
105,2.21153846153846
106,2.23076923076923
107,2.23076923076923
108,2.26923076923077
109,2.28846153846154
110,2.32692307692308
111,2.36538461538462
112,2.26923076923077
113,2.26923076923077
114,2.17307692307692
115,2.15384615384615
116,2.19230769230769
117,2.28846153846154
118,2.38461538461538
119,2.38461538461538
120,2.48076923076923
121,2.51923076923077
122,2.51923076923077
123,2.53846153846154
124,2.53846153846154
125,2.46153846153846
126,2.46153846153846
127,2.44230769230769
128,2.34615384615385
129,2.36538461538462
130,2.38461538461538
131,2.32692307692308
132,2.30769230769231
133,2.26923076923077
134,2.26923076923077
135,2.28846153846154
136,2.25
137,2.23076923076923
138,2.23076923076923
139,2.19230769230769
140,2.13461538461538
141,2.13461538461538
142,2.17307692307692
143,2.17307692307692
144,2.19230769230769
145,2.17307692307692
146,2.19230769230769
147,2.19230769230769
148,2.19230769230769
149,2.15384615384615
150,2.15384615384615
151,2.11538461538462
152,2.17307692307692
153,2.25
154,2.26923076923077
155,2.26923076923077
156,2.26923076923077
157,2.25
158,2.25
159,2.25
160,2.25
161,2.17307692307692
162,2.17307692307692
163,2.17307692307692
164,2.13461538461538
165,2.13461538461538
166,2.17307692307692
167,2.19230769230769
168,2.19230769230769
169,2.25
170,2.25
171,2.25
172,2.26923076923077
173,2.26923076923077
174,2.26923076923077
175,2.25
176,2.25
177,2.19230769230769
178,2.13461538461538
179,2.11538461538462
180,2.11538461538462
181,2.09615384615385
182,2.05769230769231
183,2.13461538461538
184,2.09615384615385
185,2.09615384615385
186,2.09615384615385
