Sec,beauty
1,0
2,0.0833333333333333
3,0.4
4,0.566666666666667
5,0.716666666666667
6,0.766666666666667
7,0.766666666666667
8,0.833333333333333
9,0.883333333333333
10,0.983333333333333
11,1.1
12,1.16666666666667
13,1.2
14,1.23333333333333
15,1.28333333333333
16,1.3
17,1.33333333333333
18,1.35
19,1.35
20,1.36666666666667
21,1.38333333333333
22,1.38333333333333
23,1.38333333333333
24,1.38333333333333
25,1.4
26,1.38333333333333
27,1.38333333333333
28,1.38333333333333
29,1.38333333333333
30,1.38333333333333
31,1.45
32,1.41666666666667
33,1.41666666666667
34,1.41666666666667
35,1.45
36,1.43333333333333
37,1.45
38,1.48333333333333
39,1.51666666666667
40,1.53333333333333
41,1.58333333333333
42,1.58333333333333
43,1.63333333333333
44,1.65
45,1.65
46,1.71666666666667
47,1.73333333333333
48,1.75
49,1.81666666666667
50,1.81666666666667
51,1.83333333333333
52,1.86666666666667
53,1.9
54,1.96666666666667
55,2.03333333333333
56,2.16666666666667
57,2.21666666666667
58,2.23333333333333
59,2.26666666666667
60,2.26666666666667
61,2.25
62,2.31666666666667
63,2.31666666666667
64,2.31666666666667
65,2.33333333333333
66,2.33333333333333
67,2.35
68,2.31666666666667
69,2.31666666666667
70,2.31666666666667
71,2.31666666666667
72,2.33333333333333
73,2.33333333333333
74,2.33333333333333
75,2.35
76,2.33333333333333
77,2.31666666666667
78,2.33333333333333
79,2.3
80,2.31666666666667
81,2.31666666666667
82,2.31666666666667
83,2.28333333333333
84,2.3
85,2.31666666666667
86,2.31666666666667
87,2.3
88,2.3
89,2.33333333333333
90,2.33333333333333
91,2.33333333333333
92,2.33333333333333
93,2.36666666666667
94,2.38333333333333
95,2.35
96,2.33333333333333
97,2.33333333333333
98,2.31666666666667
99,2.31666666666667
100,2.28333333333333
101,2.25
102,2.21666666666667
103,2.18333333333333
104,2.16666666666667
105,2.13333333333333
106,2.16666666666667
107,2.2
108,2.21666666666667
109,2.21666666666667
110,2.2
111,2.21666666666667
112,2.21666666666667
113,2.21666666666667
114,2.23333333333333
115,2.2
116,2.18333333333333
117,2.15
118,2.15
119,2.13333333333333
120,2.13333333333333
121,2.13333333333333
122,2.13333333333333
123,2.13333333333333
124,2.1
125,2.1
126,2.06666666666667
127,2.05
128,2.01666666666667
129,2.05
130,2.05
131,2.03333333333333
132,2
133,1.98333333333333
134,1.98333333333333
135,2
136,2
137,1.98333333333333
138,1.98333333333333
139,1.98333333333333
140,1.98333333333333
141,1.98333333333333
142,1.98333333333333
143,1.96666666666667
144,1.96666666666667
145,1.91666666666667
146,1.91666666666667
147,1.88333333333333
148,1.86666666666667
149,1.85
150,1.81666666666667
151,1.81666666666667
152,1.55
153,1.55
154,1.55
155,1.55
156,1.55
157,1.55
158,1.55
159,1.55
160,1.55
161,1.55
162,1.55
163,1.55
164,1.55
165,1.55
166,1.55
167,1.55
168,1.55
169,1.55
170,1.55
171,1.55
172,1.55
173,1.55
174,1.55
175,1.55
176,1.55
177,1.55
178,1.55
179,1.55
180,1.55
181,1.55
182,1.55
183,1.55
184,1.55
185,1.55
186,1.55
