Sec,joy
1,0.0357142857142857
2,0.0535714285714286
3,0.0535714285714286
4,0.0714285714285714
5,0.142857142857143
6,0.321428571428571
7,0.5
8,0.571428571428571
9,0.660714285714286
10,0.714285714285714
11,0.732142857142857
12,0.785714285714286
13,0.821428571428571
14,0.910714285714286
15,1
16,1.25
17,1.30357142857143
18,1.35714285714286
19,1.42857142857143
20,1.44642857142857
21,1.39285714285714
22,1.41071428571429
23,1.39285714285714
24,1.39285714285714
25,1.41071428571429
26,1.39285714285714
27,1.41071428571429
28,1.48214285714286
29,1.53571428571429
30,1.57142857142857
31,1.58928571428571
32,1.60714285714286
33,1.60714285714286
34,1.55357142857143
35,1.5
36,1.42857142857143
37,1.41071428571429
38,1.33928571428571
39,1.33928571428571
40,1.41071428571429
41,1.58928571428571
42,1.66071428571429
43,1.75
44,1.875
45,1.89285714285714
46,1.85714285714286
47,1.875
48,1.875
49,1.83928571428571
50,1.89285714285714
51,1.94642857142857
52,1.96428571428571
53,1.91071428571429
54,1.85714285714286
55,1.80357142857143
56,1.875
57,2.01785714285714
58,2.01785714285714
59,2.07142857142857
60,2.19642857142857
61,2.23214285714286
62,2.23214285714286
63,2.26785714285714
64,2.30357142857143
65,2.30357142857143
66,2.32142857142857
67,2.25
68,2.26785714285714
69,2.23214285714286
70,2.26785714285714
71,2.30357142857143
72,2.39285714285714
73,2.44642857142857
74,2.41071428571429
75,2.39285714285714
76,2.39285714285714
77,2.35714285714286
78,2.28571428571429
79,2.23214285714286
80,2.21428571428571
81,2.19642857142857
82,2.125
83,2.10714285714286
84,1.98214285714286
85,1.98214285714286
86,2
87,2.03571428571429
88,2.125
89,2.16071428571429
90,2.17857142857143
91,2.19642857142857
92,2.19642857142857
93,2.19642857142857
94,2.19642857142857
95,2.16071428571429
96,2.16071428571429
97,2.16071428571429
98,2.16071428571429
99,2.05357142857143
100,2.07142857142857
101,2.125
102,2.16071428571429
103,2.16071428571429
104,2.21428571428571
105,2.23214285714286
106,2.26785714285714
107,2.28571428571429
108,2.35714285714286
109,2.39285714285714
110,2.39285714285714
111,2.39285714285714
112,2.35714285714286
113,2.375
114,2.35714285714286
115,2.32142857142857
116,2.28571428571429
117,2.33928571428571
118,2.30357142857143
119,2.30357142857143
120,2.32142857142857
121,2.33928571428571
122,2.30357142857143
123,2.25
124,2.26785714285714
125,2.25
126,2.23214285714286
127,2.16071428571429
128,2.14285714285714
129,2.26785714285714
130,2.375
131,2.375
132,2.41071428571429
133,2.42857142857143
134,2.44642857142857
135,2.46428571428571
136,2.46428571428571
137,2.44642857142857
138,2.44642857142857
139,2.39285714285714
140,2.39285714285714
141,2.375
142,2.33928571428571
143,2.33928571428571
144,2.32142857142857
145,2.32142857142857
146,2.32142857142857
147,2.32142857142857
148,2.30357142857143
149,2.26785714285714
150,2.26785714285714
151,2.33928571428571
152,2.44642857142857
153,2.48214285714286
154,2.51785714285714
155,2.53571428571429
156,2.57142857142857
157,2.58928571428571
158,2.58928571428571
159,2.60714285714286
160,2.57142857142857
161,2.57142857142857
162,2.55357142857143
163,2.53571428571429
164,2.5
165,2.5
166,2.5
167,2.48214285714286
168,2.51785714285714
169,2.44642857142857
170,2.41071428571429
171,2.26785714285714
172,2.26785714285714
173,2.25
174,2.23214285714286
175,2.21428571428571
176,2.19642857142857
177,2.16071428571429
178,2
179,1.98214285714286
180,1.83928571428571
181,1.76785714285714
182,1.73214285714286
183,1.75
184,1.80357142857143
185,1.67857142857143
186,1.69642857142857
