Sec,Env
0,-31.7428913268434
1,-56.5920657787454
2,-38.1274586109151
3,-32.9185304388693
4,-23.0474334459243
5,-24.2410378433245
6,-21.2081943219513
7,-21.7754904076091
8,-22.3915883933336
9,-18.7054828804047
10,-19.2201150324025
11,-19.822640831997
12,-16.4586961741529
13,-17.049960104717
14,-18.3831510089488
15,-20.5078336962711
16,-17.2356787876365
17,-19.6561589712734
18,-17.9699395906705
19,-22.3611591225989
20,-23.9906088006148
21,-23.791522648317
22,-21.0138913661359
23,-19.4519593751933
24,-23.2523393287388
25,-23.1132732536521
26,-22.6251414882808
27,-25.1748525193004
28,-26.7836693463211
29,-23.3386527338123
30,-20.6707957186895
31,-21.0731788974671
32,-21.9991664288983
33,-21.0314789918684
34,-17.6956619223501
35,-18.3775295365136
36,-19.4028532338695
37,-20.6082016663334
38,-18.5833543656935
39,-19.4361675647273
40,-18.8290807926479
41,-19.4485040717063
42,-19.6599031499385
43,-18.9017641705905
44,-17.822278915078
45,-17.4640481362753
46,-21.4868873256866
47,-20.4480364562113
48,-22.0807793583781
49,-21.1538282824421
50,-19.5425754468052
51,-20.4139336415145
52,-16.7967220707082
53,-15.9816899207415
54,-15.6887239517427
55,-18.6042915747401
56,-19.8963642003823
57,-20.0592347648754
58,-20.5987101100309
59,-19.3965414319179
60,-17.2940472304674
61,-17.7064550976513
62,-16.7507150521101
63,-18.8764914849963
64,-18.7123395922047
65,-19.5793548344634
66,-18.993665839042
67,-17.4490697256029
68,-19.3603501929465
69,-20.0378693939236
70,-19.7262247434034
71,-17.1449203685392
72,-18.4464486229132
73,-18.7359254462608
74,-20.1393435489102
75,-17.2575109146878
76,-16.3856196365414
77,-16.6818540768423
78,-17.6240714747837
79,-17.9259372271012
80,-17.603089987511
81,-19.6435495240227
82,-19.0922013264006
83,-18.8504850618508
84,-19.1184990621086
85,-19.2965854656826
86,-18.9095848589368
87,-20.6221600835966
88,-19.0302558863323
89,-16.284653575205
90,-16.8503532604067
91,-15.9672870422796
92,-16.6738529546366
93,-18.0990570682075
94,-16.5247359889594
95,-18.0351786728174
96,-23.8952529848326
97,-15.9901870713878
98,-17.167679459654
99,-15.1887136480789
100,-17.2302769374209
101,-20.2541378573417
102,-21.3026819324014
103,-23.3890214967999
104,-22.8052741918584
105,-25.9610204599109
106,-24.206101435859
107,-20.9313283623624
108,-18.0548355390551
109,-22.146451767432
110,-23.2560127271165
111,-24.9123367164884
112,-23.8071995897623
113,-25.5707053072603
114,-23.3961371354337
115,-22.839115366124
116,-24.8540305721241
117,-23.656201235996
118,-25.7888970828623
119,-26.5948182855167
120,-22.9269459320041
121,-19.7599609879199
122,-17.5871902265238
123,-14.6103570150721
124,-14.5152725423264
125,-16.3690068519658
126,-18.4806835497278
127,-19.0790446551021
128,-18.1855333267714
129,-17.261007202564
130,-15.800720752802
131,-16.0271427849424
132,-18.3978934762899
133,-19.0479582832355
134,-16.9515128311783
135,-17.342251682889
136,-17.373031486854
137,-19.5700583425338
138,-18.1717544509147
139,-16.8532121626543
140,-17.2388276350258
141,-21.3886847567314
142,-18.8041794411513
143,-17.1116150083674
144,-17.8211426728475
145,-17.2918831288903
146,-18.1418790097321
147,-17.5307096885762
148,-16.2853136549743
149,-16.851147463557
150,-14.8252264261679
151,-17.9911131392639
152,-18.4119085931534
153,-18.5263500695876
154,-19.1986330143971
155,-18.6673523422657
156,-17.0944900726518
157,-15.5244593933705
158,-17.0331383691711
159,-13.303160325284
160,-16.4086401034648
161,-19.7430087633328
162,-29.2204127646225
163,-30.8689345811981
