Sec,Env
0,-38.5658402490109
1,-52.5464294605821
2,-35.6661283173926
3,-38.5270869329926
4,-32.8332715754951
5,-35.5214395573362
6,-34.0811292671986
7,-33.4663061775266
8,-32.5691357795922
9,-32.5430871299491
10,-31.6811977467247
11,-32.9989001960481
12,-30.6827909429465
13,-31.8518669680703
14,-26.9879857413917
15,-27.3196711242799
16,-27.1216687938149
17,-21.9294284572872
18,-24.1209062439783
19,-25.7662842133246
20,-22.8179908671687
21,-21.4050706413958
22,-26.5663083100729
23,-25.0598765149539
24,-21.6681502613932
25,-23.9197531062928
26,-25.2633866915999
27,-22.1647800055228
28,-21.7609334069119
29,-18.3803417523652
30,-19.9478703723696
31,-21.3374556980256
32,-22.549810613688
33,-22.7152944517541
34,-20.5733745851928
35,-18.7220261698334
36,-19.4998115690975
37,-17.211882546508
38,-19.3575334540957
39,-22.4639786900495
40,-21.3228198706706
41,-22.1270983506896
42,-21.3590351039146
43,-19.1758200700763
44,-19.8775939391604
45,-19.7778389536071
46,-17.7901518751223
47,-18.9005864520598
48,-17.3178058669891
49,-20.5297230506694
50,-19.0383831589732
51,-20.2129134399279
52,-20.3489667824418
53,-17.9269878238078
54,-19.1426576153522
55,-21.2545556220776
56,-17.5936086767269
57,-18.2108629343322
58,-17.6278009503594
59,-18.2650223126366
60,-18.2859655792557
61,-20.3837414581102
62,-19.715506891782
63,-16.8896914805625
64,-16.4979195855442
65,-15.6772449623831
66,-17.9658987794981
67,-19.0876997340315
68,-18.3288544904547
69,-17.4604529561679
70,-17.3954367331025
71,-16.3287338852377
72,-14.4767316342718
73,-19.4258200901465
74,-21.0755923752299
75,-16.2870919483188
76,-20.135281082768
77,-29.3525114564166
78,-26.579864171044
79,-25.1233655030477
80,-26.6607644952346
81,-25.7477471917223
82,-23.5729211653718
83,-24.799885103875
84,-26.3190660456692
85,-24.6243307595305
86,-23.9487878927601
87,-26.5903962010135
88,-23.5198586876818
89,-23.8380017647609
90,-21.4644405901889
91,-17.7660686179338
92,-16.3427358869749
93,-17.7698395255375
94,-21.5783149270905
95,-18.5736855698855
96,-18.2109583515244
97,-16.8721914444608
98,-18.6573198763715
99,-15.8671686917319
100,-17.4203320724885
101,-19.3336508390783
102,-20.8681198775112
103,-20.7609717087259
104,-16.9695367938833
105,-18.9362993692514
106,-20.031137228835
107,-18.3900494483028
108,-16.8998007066197
109,-17.0869962939758
110,-18.5718787878235
111,-17.8848876467815
112,-19.1754234401793
113,-18.7266912849733
114,-18.5723637446124
115,-17.985492744133
116,-19.9237407201453
117,-18.8198089340919
118,-17.0494642061158
119,-16.9401232037786
120,-14.7849828200601
121,-18.6649243627242
122,-18.0982607792143
123,-19.0487457037961
124,-18.736967435642
125,-16.9379218181649
126,-14.9381945084359
127,-16.3651538368839
128,-17.8376432717401
129,-14.2673875462061
130,-15.5509397448748
131,-16.2952710893693
132,-16.3125062010351
133,-15.1028047404809
134,-14.8220409815869
135,-15.53252802283
136,-13.8477089138442
137,-11.5857307506618
138,-11.9127552971485
139,-12.3502139642491
140,-13.5413629433867
141,-14.1467955420687
142,-10.7088447796879
143,-13.2069653417222
144,-15.4974989280952
145,-12.143513487691
146,-11.7824847541367
147,-14.0668988714889
148,-13.3423104846996
149,-11.596032956727
150,-12.5216615746185
151,-13.6293460528992
152,-11.9297762200117
153,-12.3750762587066
154,-13.8940727814199
155,-12.7664293217678
156,-11.1203613003472
157,-13.799226015924
158,-14.427841474849
159,-12.093751384944
160,-12.0864542825252
161,-15.0434514851314
162,-12.042152011125
163,-11.7411118742858
164,-11.0630400169718
165,-11.8287317326857
166,-11.5355891850687
167,-21.2868740400216
168,-21.2125858138275
169,-40.5612415645678
