Sec,warmth
1,0
2,0
3,0.0625
4,0.109375
5,0.15625
6,0.21875
7,0.25
8,0.359375
9,0.46875
10,0.5
11,0.53125
12,0.546875
13,0.546875
14,0.546875
15,0.5625
16,0.578125
17,0.609375
18,0.671875
19,0.71875
20,0.765625
21,0.828125
22,0.828125
23,0.828125
24,0.859375
25,0.890625
26,0.90625
27,0.90625
28,0.890625
29,0.890625
30,0.90625
31,0.953125
32,1.03125
33,1.0625
34,1.03125
35,1.03125
36,1.03125
37,1.03125
38,1.078125
39,1.09375
40,1.078125
41,1.0625
42,1.078125
43,1.140625
44,1.109375
45,1.203125
46,1.1875
47,1.1875
48,1.171875
49,1.15625
50,1.1875
51,1.171875
52,1.203125
53,1.234375
54,1.234375
55,1.25
56,1.265625
57,1.28125
58,1.34375
59,1.328125
60,1.390625
61,1.421875
62,1.40625
63,1.390625
64,1.390625
65,1.421875
66,1.40625
67,1.390625
68,1.390625
69,1.40625
70,1.421875
71,1.40625
72,1.390625
73,1.390625
74,1.390625
75,1.328125
76,1.296875
77,1.265625
78,1.25
79,1.25
80,1.296875
81,1.3125
82,1.375
83,1.390625
84,1.390625
85,1.484375
86,1.515625
87,1.546875
88,1.65625
89,1.8125
90,1.8125
91,1.828125
92,1.859375
93,1.8125
94,1.828125
95,1.828125
96,1.8125
97,1.8125
98,1.8125
99,1.828125
100,1.859375
101,1.828125
102,1.84375
103,1.84375
104,1.8125
105,1.796875
106,1.796875
107,1.796875
108,1.75
109,1.734375
110,1.75
111,1.640625
112,1.640625
113,1.625
114,1.609375
115,1.609375
116,1.6875
117,1.671875
118,1.65625
119,1.640625
120,1.640625
121,1.703125
122,1.703125
123,1.75
124,1.71875
125,1.65625
126,1.65625
127,1.671875
128,1.640625
129,1.625
130,1.578125
131,1.53125
132,1.515625
133,1.453125
134,1.6875
135,1.6875
136,1.6875
137,1.6875
138,1.6875
139,1.6875
140,1.6875
141,1.6875
142,1.6875
143,1.6875
144,1.6875
145,1.6875
146,1.6875
147,1.6875
148,1.6875
149,1.6875
150,1.6875
151,1.6875
152,1.6875
153,1.6875
154,1.6875
155,1.6875
156,1.6875
157,1.6875
158,1.6875
159,1.6875
160,1.6875
161,1.6875
162,1.6875
163,1.6875
164,1.6875
165,1.6875
166,1.6875
167,1.6875
168,1.6875
169,1.6875
170,1.6875
171,1.6875
172,1.6875
173,1.6875
174,1.6875
175,1.6875
176,1.6875
177,1.6875
178,1.6875
179,1.6875
180,1.6875
181,1.6875
182,1.6875
183,1.6875
184,1.6875
185,1.6875
186,1.6875
